Contract ID,Customer ID,Name,Age,Income,Occupation,Start Date,Term (Months),Monthly Payment,Total Amount,Asset Category,Vehicle Type,Payment Status,Missed Payments,Manufacture Year,Mileage (km),Chassis Number,Engine Number,End Date,Down Payment,Work Province,Brand,Model,NCB Score
71a6014c-5f3c-44dc-9ef7-87b8f2e6195f,233ffc82-92ec-49af-93ae-c376c359810a,Jennifer Banks,33,34951,เจ้าของกิจการ,2023-07-17,24,18269,438456,รถยนต์,เก๋ง,On Time,0,2021,71677,CHSM097RNW2D07G,ENG8726011316,2025-07-06,125081.2,ชลบุรี,Mazda,Mazda3,729
bc55300b-06a2-41af-9d0a-f7f7f5e4a471,63119aca-848a-4440-bfc1-58582fa0d842,Autumn Hampton,34,45400,พนักงานบริษัท,2024-01-10,12,11511,138132,รถจักรยานยนต์,มอเตอร์ไซค์ใหญ่,Default,0,2023,84555,CHS06MH7KT0TPB5,ENG5413166695,2025-01-04,14341.31,กรุงเทพมหานคร,Yamaha,MT-15,541
9ca3fbb3-ff11-48ba-b6ee-1640723ef466,ffa623d0-ea9e-4c8d-b1a8-b71f491b90e9,Bryan Farrell MD,56,47573,ฟรีแลนซ์,2024-03-26,24,5868,140832,รถจักรยานยนต์,มอเตอร์ไซค์เล็ก,Late,3,2017,86920,CHSYB33UKTRHZCJ,ENG4134030189,2026-03-16,27514.16,สุราษฎร์ธานี,Suzuki,Raider R150,703
1679742f-ff4c-46d6-b1f2-ce8fb69f68c3,d8741408-f7b2-47c7-ae92-ea71cf7dcb43,Miss Michelle Pierce,27,66979,เกษตรกร,2023-08-02,36,9429,339444,รถยนต์,รถตู้,On Time,0,2018,181806,CHSULVKP1792739,ENG5464840072,2026-07-17,80633.02,ขอนแก่น,Mazda,Mazda3,704
28524385-d9f2-4d0d-8cc9-f5f2e42e5037,b34191b8-ed65-42b4-b5a5-f8e6b6391f04,Rebecca Hicks,29,50042,เจ้าของกิจการ,2023-05-29,12,6265,75180,รถยนต์,เก๋ง,Default,3,2022,106665,CHSLCC68XML5R5C,ENG2514775117,2024-05-23,18384.62,ภูเก็ต,Isuzu,MU-X,468
238d6f44-cac4-40eb-b373-730efc31a597,06ba8cd3-7e78-48c9-8a55-e38b3c9abe10,Kenneth Mcdonald,25,91412,เกษตรกร,2023-11-12,24,11214,269136,รถยนต์,เก๋ง,On Time,0,2020,176675,CHSZMJNUS71A86Y,ENG8380759187,2025-11-01,64190.68,สงขลา,Isuzu,D-Max,575
161237c9-e25d-49a8-9ca8-a5c42138afe0,ffe575f6-65ed-4fe3-8f2d-ad3f10d4de39,Karen Jenkins,39,28297,พนักงานบริษัท,2023-09-18,12,14106,169272,รถจักรยานยนต์,มอเตอร์ไซค์เล็ก,Late,1,2019,77708,CHSVAMDXF88J8KW,ENG2943849728,2024-09-12,21478.42,นครราชสีมา,Honda,CBR500R,618
20156a72-12e1-43a6-932c-ae01d2c65ee4,12fc7a87-a470-4d48-9128-b9b1f8ede0ca,Michael Cooper,36,34578,ฟรีแลนซ์,2024-03-17,24,8876,213024,รถจักรยานยนต์,มอเตอร์ไซค์เล็ก,On Time,0,2018,82926,CHSD7ZG313LTD2C,ENG5376112203,2026-03-07,34058.09,ปทุมธานี,Honda,Wave 110i,635
a3c988e4-8d22-48e6-87bf-4fbcd43cdd6d,f75d1e3c-c48d-4650-ae95-22d696792482,Jonathan Oneill,28,44701,เกษตรกร,2024-02-28,24,5290,126960,รถยนต์,รถตู้,On Time,0,2022,73803,CHSZHZV0PNH8M3E,ENG2537228960,2026-02-17,21804.5,ปทุมธานี,Honda,City,590
4ddb1b36-272c-4588-84a2-576c1fc905f8,ef4afa88-5299-4505-a976-aab22a26f770,Hannah Everett,48,75160,ฟรีแลนซ์,2024-03-24,12,10881,130572,รถจักรยานยนต์,มอเตอร์ไซค์ใหญ่,Late,3,2015,40332,CHSEYV8G5XV9ML5,ENG9799818278,2025-03-19,34064.6,สุราษฎร์ธานี,Honda,Wave 110i,586
4027ab7d-1430-49a9-988f-1c9448b763d5,8d03f17a-f4d3-45c1-a293-19fa3240d7a1,Mario Mendez,44,74772,ฟรีแลนซ์,2023-05-18,36,19585,705060,รถจักรยานยนต์,มอเตอร์ไซค์ใหญ่,On Time,0,2023,92703,CHSSHSH0A0XVUA1,ENG7645244680,2026-05-02,109814.49,ภูเก็ต,Honda,PCX 160,783
9780c215-2b2b-48e9-a417-c09380a8a23d,2bd3cdcd-2779-4685-94a5-3fdef10d27c8,Michelle Jacobs,27,31754,เกษตรกร,2024-03-04,24,13105,314520,รถจักรยานยนต์,มอเตอร์ไซค์เล็ก,On Time,0,2015,22312,CHSVY2G2SS4FJ8V,ENG5293930777,2026-02-22,44706.19,สุราษฎร์ธานี,Yamaha,Finn,641
d342af08-0a8b-45b4-9049-4583ec86a890,0ba36279-14cb-4564-8743-7c3bdd20c3bf,Patricia Baker,32,51755,เกษตรกร,2023-07-02,12,16880,202560,รถจักรยานยนต์,มอเตอร์ไซค์ใหญ่,Late,1,2022,94376,CHSD6HR6AZMEH37,ENG4630524228,2024-06-26,59044.13,ระยอง,Honda,CBR500R,594
9e3c5a88-6aa5-4e6d-9277-9574c4576cc3,e3954cb1-7f7f-4c0a-87c0-d116a394ed54,Donna Frye,48,94082,เจ้าของกิจการ,2023-10-16,36,5591,201276,รถจักรยานยนต์,มอเตอร์ไซค์ใหญ่,On Time,0,2018,85526,CHSBK772L7WV27N,ENG3554360074,2026-09-30,20484.39,ปทุมธานี,Suzuki,Burgman 125,646
af5b8f47-ceae-41cf-8e00-0af03eb05181,12ae5c22-741b-47f5-8c24-a05367f5ae02,Brooke Perry,32,96231,ฟรีแลนซ์,2023-10-09,12,18906,226872,รถยนต์,เก๋ง,On Time,0,2023,180251,CHS74XJFST63EDF,ENG1840926161,2024-10-03,67962.72,กรุงเทพมหานคร,Mazda,BT-50,692
24c778a5-9b4e-464b-9716-dc2e343ada2a,51beb80e-b7e6-414c-9c8a-49225005680f,Shannon Hester,44,36292,เจ้าของกิจการ,2023-06-01,36,7738,278568,รถจักรยานยนต์,มอเตอร์ไซค์ใหญ่,On Time,0,2019,72442,CHSRNZ3DBV86ED9,ENG9262391336,2026-05-16,65564.95,ภูเก็ต,Kawasaki,Ninja 400,654
